FlightId;ArrAirportCode;ArrScheduledDate;ArrScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DpStatusDescription;StatusCode;StatusDescription
CL147;FRA;2023-05-19;12:00;2023-05-19;12:10;1;Area A;LD;Flight Landed;CL;147;CR9;2023-05-19;11:27;;A16;DP;Flight Departed;LD;Flight Landed
LH325;FRA;2023-05-19;12:00;;;1;;NO;No Status;LH;325;321;;;;;NO;No Status;CD;Flight Cancelled
LH801;FRA;2023-05-19;12:00;2023-05-19;11:59;1;A54;LD;Flight Landed;LH;801;32N;2023-05-19;09:50;5;;DP;Flight Departed;LD;Flight Landed
OS207;FRA;2023-05-19;12:00;2023-05-19;12:01;1;A34;LD;Flight Landed;OS;207;32N;2023-05-19;10:30;3;F16;DP;Flight Departed;LD;Flight Landed
LH901;FRA;2023-05-19;12:05;2023-05-19;11:56;1;Z18;LD;Flight Landed;LH;901;32N;2023-05-19;09:32;2;A26;DP;Flight Departed;LD;Flight Landed
LH1095;FRA;2023-05-19;12:05;2023-05-19;12:04;1;A17;LD;Flight Landed;LH;1095;321;2023-05-19;10:17;;050;DP;Flight Departed;LD;Flight Landed
LX1082;FRA;2023-05-19;12:05;2023-05-19;12:05;1;Area A;LD;Flight Landed;LX;1082;223;2023-05-19;10:53;1;;DP;Flight Departed;LD;Flight Landed
2A3441;FRA;2023-05-19;12:06;2023-05-19;12:10;TN;;LD;Flight Landed;2A;3441;TRN;2023-05-19;11:37;;T03;DP;Flight Departed;LD;Flight Landed
CL971;FRA;2023-05-19;12:10;2023-05-19;12:14;1;Area A;LD;Flight Landed;CL;971;E90;2023-05-19;09:36;;011;DP;Flight Departed;LD;Flight Landed
LH977;FRA;2023-05-19;12:10;2023-05-19;13:07;1;Z16;LD;Flight Landed;LH;977;32N;2023-05-19;10:11;1;302;DP;Flight Departed;LD;Flight Landed
CL1361;FRA;2023-05-19;12:10;2023-05-19;12:19;1;BSO;LD;Flight Landed;CL;1361;CR9;2023-05-19;10:45;;014;DP;Flight Departed;LD;Flight Landed
EN8767;FRA;2023-05-19;12:15;2023-05-19;12:13;1;BSO;LD;Flight Landed;EN;8767;E90;2023-05-19;10:50;;003;DP;Flight Departed;LD;Flight Landed
CL1203;FRA;2023-05-19;12:15;2023-05-19;12:45;1;Area A;LD;Flight Landed;CL;1203;CR9;2023-05-19;11:47;;39A;DP;Flight Departed;LD;Flight Landed
4Y1201;FRA;2023-05-19;12:20;2023-05-19;12:22;1;B10;LD;Flight Landed;4Y;1201;32A;2023-05-19;10:04;;;DP;Flight Departed;LD;Flight Landed
LH837;FRA;2023-05-19;12:20;2023-05-19;12:11;1;Area A;LD;Flight Landed;LH;837;319;2023-05-19;10:46;;012;DP;Flight Departed;LD;Flight Landed
LH1009;FRA;2023-05-19;12:20;2023-05-19;12:32;1;A24;LD;Flight Landed;LH;1009;320;2023-05-19;11:36;;;DP;Flight Departed;LD;Flight Landed
LH1187;FRA;2023-05-19;12:20;2023-05-19;12:35;1;A38;LD;Flight Landed;LH;1187;320;2023-05-19;11:35;;;DP;Flight Departed;LD;Flight Landed
2A3473;FRA;2023-05-19;12:22;2023-05-19;12:46;TN;;LD;Flight Landed;2A;3473;TRN;2023-05-19;11:08;;T06;DP;Flight Departed;LD;Flight Landed
LH249;FRA;2023-05-19;12:25;;;1;ASO;NO;No Status;LH;249;319;;;1;;NO;No Status;CD;Flight Cancelled
CL355;FRA;2023-05-19;12:25;2023-05-19;12:30;1;Area A;LD;Flight Landed;CL;355;E90;2023-05-19;11:30;;A01;DP;Flight Departed;LD;Flight Landed
LH1087;FRA;2023-05-19;12:25;2023-05-19;12:42;1;A40;LD;Flight Landed;LH;1087;320;2023-05-19;10:55;1A;044;DP;Flight Departed;LD;Flight Landed
LH989;FRA;2023-05-19;12:30;2023-05-19;12:29;1;Area A;LD;Flight Landed;LH;989;319;2023-05-19;11:33;;B31;DP;Flight Departed;LD;Flight Landed
CL1459;FRA;2023-05-19;12:30;2023-05-19;13:03;1;Area A;LD;Flight Landed;CL;1459;CR9;2023-05-19;11:44;;0A1;DP;Flight Departed;LD;Flight Landed
2A3511;FRA;2023-05-19;12:33;2023-05-19;12:32;TN;T04;LD;Flight Landed;2A;3511;TRN;2023-05-19;11:21;;T16;DP;Flight Departed;LD;Flight Landed
2A3561;FRA;2023-05-19;12:35;2023-05-19;12:41;TN;;LD;Flight Landed;2A;3561;TRN;2023-05-19;11:27;;T10;DP;Flight Departed;LD;Flight Landed
LH899;FRA;2023-05-19;12:40;2023-05-19;12:32;1;Area A;LD;Flight Landed;LH;899;320;2023-05-19;10:55;A;003;DP;Flight Departed;LD;Flight Landed
LH1125;FRA;2023-05-19;12:40;2023-05-19;12:44;1;A01;LD;Flight Landed;LH;1125;32M;2023-05-19;10:36;1;B32;DP;Flight Departed;LD;Flight Landed
LH1365;FRA;2023-05-19;12:40;2023-05-19;14:22;1;BSO;LD;Flight Landed;LH;1365;32A;2023-05-19;12:46;;011;DP;Flight Departed;LD;Flight Landed
LH1031;FRA;2023-05-19;12:50;2023-05-19;13:06;1;Area A;LD;Flight Landed;LH;1031;32M;2023-05-19;12:06;1;067;DP;Flight Departed;LD;Flight Landed
2A3611;FRA;2023-05-19;12:50;2023-05-19;12:54;TN;T04;LD;Flight Landed;2A;3611;TRN;2023-05-19;12:03;;T06;DP;Flight Departed;LD;Flight Landed
2A3649;FRA;2023-05-19;12:50;2023-05-19;12:54;TN;;LD;Flight Landed;2A;3649;TRN;2023-05-19;10:05;;T09;DP;Flight Departed;LD;Flight Landed
OS209;FRA;2023-05-19;12:50;2023-05-19;12:53;1;A26;LD;Flight Landed;OS;209;320;2023-05-19;11:30;3;F08;DP;Flight Departed;LD;Flight Landed
LH185;FRA;2023-05-19;12:55;2023-05-19;13:41;1;A30;LD;Flight Landed;LH;185;32M;2023-05-19;12:31;1;A17;DP;Flight Departed;LD;Flight Landed
LH1337;FRA;2023-05-19;12:55;2023-05-19;13:15;1;B09;LD;Flight Landed;LH;1337;32N;2023-05-19;11:42;2A;A04;DP;Flight Departed;LD;Flight Landed
LH1395;FRA;2023-05-19;12:55;2023-05-19;13:57;1;A36;LD;Flight Landed;LH;1395;32A;2023-05-19;12:29;2;C10;DP;Flight Departed;LD;Flight Landed
LH105;FRA;2023-05-19;13:00;2023-05-19;13:27;1;A28;LD;Flight Landed;LH;105;32M;2023-05-19;12:28;2;G34;DP;Flight Departed;LD;Flight Landed
4Y1205;FRA;2023-05-19;13:05;2023-05-19;13:31;1;Area A;LD;Flight Landed;4Y;1205;32A;2023-05-19;11:11;;;DP;Flight Departed;LD;Flight Landed
LH903;FRA;2023-05-19;13:05;2023-05-19;13:00;1;Area A;LD;Flight Landed;LH;903;32N;2023-05-19;10:39;2;A19;DP;Flight Departed;LD;Flight Landed
2A3411;FRA;2023-05-19;13:06;2023-05-19;13:13;TN;T04;LD;Flight Landed;2A;3411;TRN;2023-05-19;11:52;;T10;DP;Flight Departed;LD;Flight Landed
LH017;FRA;2023-05-19;13:10;2023-05-19;13:22;1;A14;LD;Flight Landed;LH;17;321;2023-05-19;12:11;2;A18;DP;Flight Departed;LD;Flight Landed
2L1072;FRA;2023-05-19;13:15;2023-05-19;13:22;1;A34;LD;Flight Landed;2L;1072;E90;2023-05-19;12:22;;;DP;Flight Departed;LD;Flight Landed
2A3535;FRA;2023-05-19;13:17;2023-05-19;13:20;TN;T04;LD;Flight Landed;2A;3535;TRN;2023-05-19;12:29;;T04;DP;Flight Departed;LD;Flight Landed
2A3719;FRA;2023-05-19;13:18;2023-05-19;13:19;TN;;LD;Flight Landed;2A;3719;TRN;2023-05-19;10:53;;T02;DP;Flight Departed;LD;Flight Landed
LH1457;FRA;2023-05-19;13:20;2023-05-19;14:05;1;B20;LD;Flight Landed;LH;1457;32N;2023-05-19;12:45;2;B06;DP;Flight Departed;LD;Flight Landed
2A3475;FRA;2023-05-19;13:20;2023-05-19;13:25;TN;T04;LD;Flight Landed;2A;3475;TRN;2023-05-19;11:56;;T06;DP;Flight Departed;LD;Flight Landed
LH811;FRA;2023-05-19;13:25;2023-05-19;14:00;1;A62;LD;Flight Landed;LH;811;32N;2023-05-19;12:01;;;DP;Flight Departed;LD;Flight Landed
LH827;FRA;2023-05-19;13:25;2023-05-19;13:25;1;Area A;LD;Flight Landed;LH;827;319;2023-05-19;11:56;2;A12;DP;Flight Departed;LD;Flight Landed
