AirportCode;CityCode;CountryCode;LocationType;Names;UtcOffset;TimeZoneId;Latitude;Longitude;Continent
BRE;BRE;DE;Airport;Bremen;+01:00;Europe/Berlin;53.0475;8.7867;Europe
BRI;BRI;IT;Airport;Bari;+01:00;Europe/Rome;41.1381;16.765;Europe
BRN;BRN;CH;Airport;Berne;+01:00;Europe/Zurich;46.9142;7.4972;Europe
BRS;BRS;GB;Airport;Bristol;+00:00;Europe/London;51.3825;-2.7189;Europe
BRU;BRU;BE;Airport;Brussels;+01:00;Europe/Brussels;50.9014;4.4844;Europe
BSL;EAP;CH;Airport;Basel;+01:00;Europe/Zurich;47.6011;7.5217;Europe
BUD;BUD;HU;Airport;Budapest;+01:00;Europe/Budapest;47.4369;19.2556;Europe
BZG;BZG;PL;Airport;Bydgoszcz;+01:00;Europe/Warsaw;53.0967;17.9778;Europe
CAG;CAG;IT;Airport;Cagliari;+01:00;Europe/Rome;39.2514;9.0578;Europe
CDG;PAR;FR;Airport;Paris/ Ch.de Gaulle;+01:00;Europe/Paris;49.0097;2.5478;Europe
CFU;CFU;GR;Airport;Corfu;+02:00;Europe/Athens;39.6019;19.9117;Europe
CGN;CGN;DE;Airport;Cologne/Bonn;+01:00;Europe/Berlin;50.8658;7.1428;Europe
CHQ;CHQ;GR;Airport;Chania;+02:00;Europe/Athens;35.5317;24.1497;Europe
CIY;CIY;IT;Airport;Comiso Vincenzo Magliocco;+01:00;Europe/Rome;36.9947;14.6069;Europe
CKZ;CKZ;TR;Airport;Canakkale;+03:00;Europe/Istanbul;40.1378;26.4267;Europe
CLJ;CLJ;RO;Airport;Cluj;+02:00;Europe/Bucharest;46.7853;23.6861;Europe
CLY;CLY;FR;Airport;Calvi;+01:00;Europe/Paris;42.5203;8.7931;Europe
CPH;CPH;DK;Airport;Copenhagen;+01:00;Europe/Copenhagen;55.6203;12.6503;Europe
CTA;CTA;IT;Airport;Catania;+01:00;Europe/Rome;37.4667;15.0639;Europe
CUF;CUF;IT;Airport;Cuneo;+01:00;Europe/Rome;44.5475;7.6231;Europe
DBV;DBV;HR;Airport;Dubrovnik;+01:00;Europe/Zagreb;42.5614;18.2683;Europe
DEB;DEB;HU;Airport;Debrecen;+01:00;Europe/Budapest;47.4889;21.6153;Europe
DHC;BRE;DE;Rail Station;Bremen Hbf;+01:00;Europe/Berlin;53.0836;8.8142;Europe
DIY;DIY;TR;Airport;Diyarbakir;+03:00;Europe/Istanbul;37.8939;40.2011;Europe
DLM;DLM;TR;Airport;Dalaman;+03:00;Europe/Istanbul;36.7131;28.7925;Europe
DME;MOW;RU;Airport;Moscow Domodedowo;+03:00;Europe/Moscow;55.4089;37.9064;Europe
DNK;DNK;UA;Airport;Dnepropetrovsk;+02:00;Europe/Zaporozhye;48.3572;35.1006;Europe
DNZ;DNZ;TR;Airport;Denizli;+03:00;Europe/Istanbul;37.7856;29.7014;Europe
DRS;DRS;DE;Airport;Dresden;+01:00;Europe/Berlin;51.1344;13.7681;Europe
DTM;DTM;DE;Airport;Dortmund;+01:00;Europe/Berlin;51.5183;7.6122;Europe
DTZ;DTM;DE;Rail Station;Dortmund Central Station;+01:00;Europe/Berlin;51.5178;7.4592;Europe
DUB;DUB;IE;Airport;Dublin;+00:00;Europe/Dublin;53.4214;-6.27;Europe
DUS;DUS;DE;Airport;Dusseldorf;+01:00;Europe/Berlin;51.2894;6.7667;Europe
EDI;EDI;GB;Airport;Edinburgh;+00:00;Europe/London;55.95;-3.3725;Europe
EDO;EDO;TR;Airport;Edremit Korfez;+03:00;Europe/Istanbul;39.5547;27.0139;Europe
EFL;EFL;GR;Airport;Kefallinia;+02:00;Europe/Athens;38.12;20.5006;Europe
EGO;EGO;RU;Airport;Belgorod;+03:00;Europe/Moscow;50.6439;36.59;Europe
EMA;NQT;GB;Airport;East Midlands;+00:00;Europe/London;52.8311;-1.3281;Europe
ERC;ERC;TR;Airport;Erzincan;+03:00;Europe/Istanbul;39.7103;39.5269;Europe
ERF;ERF;DE;Airport;Erfurt;+01:00;Europe/Berlin;50.9797;10.9581;Europe
ERZ;ERZ;TR;Airport;Erzurum;+03:00;Europe/Istanbul;39.9564;41.1703;Europe
ESB;ANK;TR;Airport;Ankara;+03:00;Europe/Istanbul;40.1281;32.995;Europe
EVE;EVE;NO;Airport;Harstad-Narvik;+01:00;Europe/Oslo;68.4914;16.6781;Europe
EZS;EZS;TR;Airport;Elazig;+03:00;Europe/Istanbul;38.6069;39.2914;Europe
FAO;FAO;PT;Airport;Faro;+00:00;Europe/Lisbon;37.0144;-7.9658;Europe
FCO;ROM;IT;Airport;Rome;+01:00;Europe/Rome;41.8003;12.2389;Europe
FDH;FDH;DE;Airport;Friedrichshafen;+01:00;Europe/Berlin;47.6714;9.5114;Europe
FKB;FKB;DE;Airport;Karlsruhe/ Baden Baden;+01:00;Europe/Berlin;48.7794;8.0806;Europe
FLR;FLR;IT;Airport;Florence;+01:00;Europe/Rome;43.8086;11.2028;Europe
FMO;FMO;DE;Airport;Muenster-Osnabrueck;+01:00;Europe/Berlin;52.1347;7.6847;Europe
FNC;FNC;PT;Airport;Funchal;+00:00;Europe/Lisbon;32.6942;-16.7781;Europe
FRA;FRA;DE;Airport;Frankfurt;+01:00;Europe/Berlin;50.0331;8.5706;Europe
FRL;FRL;IT;Airport;Forli;+01:00;Europe/Rome;44.1956;12.0697;Europe
FRO;FRO;NO;Airport;Floro;+01:00;Europe/Oslo;61.5836;5.0247;Europe
FSC;FSC;FR;Airport;Figari;+01:00;Europe/Paris;41.5022;9.0967;Europe
GDN;GDN;PL;Airport;Gdansk;+01:00;Europe/Warsaw;54.3775;18.4661;Europe
GGZ;GRZ;AT;Rail Station;Graz Rail Station;+01:00;Europe/Vienna;47.0731;15.4161;Europe
GLA;GLA;GB;Airport;Glasgow;+00:00;Europe/London;55.8719;-4.4333;Europe
GNY;SFQ;TR;Airport;Sanliurfa;+03:00;Europe/Istanbul;37.0944;38.8469;Europe
GOA;GOA;IT;Airport;Genoa;+01:00;Europe/Rome;44.4133;8.8375;Europe
GOJ;GOJ;RU;Airport;Nizhniy Novgorod;+03:00;Europe/Moscow;56.23;43.7842;Europe
GOT;GOT;SE;Airport;Gothenburg;+01:00;Europe/Stockholm;57.6628;12.2797;Europe
GPA;GPA;GR;Airport;Patrai;+02:00;Europe/Athens;38.1511;21.4256;Europe
GRO;GRO;ES;Airport;Girona Costa Brava Apt;+01:00;Europe/Madrid;41.9008;2.7606;Europe
GRQ;GRQ;NL;Airport;Groningen;+01:00;Europe/Amsterdam;53.125;6.5833;Europe
GRZ;GRZ;AT;Airport;Graz;+01:00;Europe/Vienna;46.9936;15.44;Europe
GVA;GVA;CH;Airport;Geneva;+01:00;Europe/Zurich;46.2381;6.1089;Europe
GWT;GWT;DE;Airport;Westerland (Sylt);+01:00;Europe/Berlin;54.9133;8.3406;Europe
GZP;GZP;TR;Airport;Gazipasa;+03:00;Europe/Istanbul;36.2981;32.2903;Europe
GZT;GZT;TR;Airport;Gaziantep;+03:00;Europe/Istanbul;36.9472;37.4786;Europe
HAJ;HAJ;DE;Airport;Hannover;+01:00;Europe/Berlin;52.4606;9.6894;Europe
HAM;HAM;DE;Airport;Hamburg;+01:00;Europe/Berlin;53.6303;9.9883;Europe
HAU;HAU;NO;Airport;Haugesund;+01:00;Europe/Oslo;59.3453;5.2083;Europe
HDF;HDF;DE;Airport;Heringsdorf/ Usedom;+01:00;Europe/Berlin;53.8786;14.1522;Europe
HEL;HEL;FI;Airport;Helsinki;+02:00;Europe/Helsinki;60.3172;24.9633;Europe
HER;HER;GR;Airport;Heraklion;+02:00;Europe/Athens;35.3397;25.1803;Europe
HOV;HOV;NO;Airport;Orsta-Volda;+01:00;Europe/Oslo;62.1792;6.0711;Europe
HTY;HTY;TR;Airport;Hatay;+03:00;Europe/Istanbul;36.3597;36.2847;Europe
IAS;IAS;RO;Airport;Iasi;+02:00;Europe/Bucharest;47.1786;27.6206;Europe
IBZ;IBZ;ES;Airport;Ibiza;+01:00;Europe/Madrid;38.8728;1.3731;Europe
IGD;IGD;TR;Airport;Igdir;+03:00;Europe/Istanbul;39.9728;43.8844;Europe
INI;INI;RS;Airport;Nis;+01:00;Europe/Belgrade;43.3372;21.8536;Europe
INN;INN;AT;Airport;Innsbruck;+01:00;Europe/Vienna;47.2603;11.3439;Europe
IOA;IOA;GR;Airport;Ioannina;+02:00;Europe/Athens;39.6964;20.8225;Europe
IOB;INN;AT;Rail Station;Innsbruck Railway Station;+01:00;Europe/Vienna;47.2628;11.4011;Europe
ISE;ISE;TR;Airport;Isparta Suleyman Demirel;+03:00;Europe/Istanbul;37.8556;30.3683;Europe
IST;IST;TR;Airport;Istanbul;+03:00;Europe/Istanbul;41.2706;28.7425;Europe
