FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;AirlineID;FlightNumber;AircraftCode;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;StatusCode;StatusDescription
SN2618;FRA;2023-05-19;21:30;2023-05-19;21:39;1;B10;DP;Flight Departed;SN;2618;319;2023-05-19;22:31;;;LD;Flight Landed;LD;Flight Landed
LH884;FRA;2023-05-19;21:35;2023-05-19;21:38;1;A18;DP;Flight Departed;LH;884;32A;2023-05-20;00:56;;;LD;Flight Landed;LD;Flight Landed
LH242;FRA;2023-05-19;21:40;2023-05-19;21:58;1;A19;DP;Flight Departed;LH;242;32Q;2023-05-19;23:45;1;;LD;Flight Landed;LD;Flight Landed
LH510;FRA;2023-05-19;21:40;2023-05-19;21:36;1;B28;DP;Flight Departed;LH;510;74H;2023-05-20;06:27;A;;LD;Flight Landed;LD;Flight Landed
LH1052;FRA;2023-05-19;21:40;2023-05-19;21:43;1;A15;DP;Flight Departed;LH;1052;321;2023-05-19;22:53;1;067;LD;Flight Landed;LD;Flight Landed
LH1100;FRA;2023-05-19;21:40;2023-05-19;21:49;1;B14;DP;Flight Departed;LH;1100;320;2023-05-19;23:22;;;LD;Flight Landed;LD;Flight Landed
LH1294;FRA;2023-05-19;21:40;2023-05-19;22:08;1;B47;DP;Flight Departed;LH;1294;32Q;2023-05-20;02:47;;;LD;Flight Landed;LD;Flight Landed
LH854;FRA;2023-05-19;21:45;2023-05-19;22:07;1;A11;DP;Flight Departed;LH;854;321;2023-05-20;01:27;;;LD;Flight Landed;LD;Flight Landed
LH808;FRA;2023-05-19;21:50;2023-05-19;21:53;1;A21;DP;Flight Departed;LH;808;32N;2023-05-19;23:55;5;;LD;Flight Landed;LD;Flight Landed
LH868;FRA;2023-05-19;21:50;2023-05-20;09:05;1;A34;DP;Flight Departed;LH;868;32N;2023-05-20;10:44;;;LD;Flight Landed;LD;Flight Landed
LH1326;FRA;2023-05-19;21:50;2023-05-19;21:52;1;B41;DP;Flight Departed;LH;1326;319;2023-05-19;23:18;M;;LD;Flight Landed;LD;Flight Landed
LH1330;FRA;2023-05-19;21:50;2023-05-19;21:56;1;B24;DP;Flight Departed;LH;1330;32N;2023-05-20;00:15;2;;LD;Flight Landed;LD;Flight Landed
LH1410;FRA;2023-05-19;21:50;2023-05-19;22:00;1;B22;DP;Flight Departed;LH;1410;320;2023-05-19;23:47;2;;LD;Flight Landed;LD;Flight Landed
OS220;FRA;2023-05-19;21:50;2023-05-19;22:09;1;A22;DP;Flight Departed;OS;220;320;2023-05-19;23:38;3;F12A;LD;Flight Landed;LD;Flight Landed
2A3458;FRA;2023-05-19;21:51;2023-05-19;21:57;Station;T05;DP;Flight Departed;2A;3458;TRN;2023-05-19;22:27;;;LD;Flight Landed;LD;Flight Landed
4Y142;FRA;2023-05-19;21:55;2023-05-19;21:58;1;C15;DP;Flight Departed;4Y;142;33Y;2023-05-20;07:59;;;LD;Flight Landed;LD;Flight Landed
LH778;FRA;2023-05-19;21:55;2023-05-19;22:08;1;Z25;DP;Flight Departed;LH;778;74H;2023-05-20;16:47;2;F31;LD;Flight Landed;LD;Flight Landed
LH1318;FRA;2023-05-19;21:55;2023-05-19;22:09;1;B58;DP;Flight Departed;LH;1318;32N;2023-05-19;23:28;I;;LD;Flight Landed;LD;Flight Landed
LH584;FRA;2023-05-19;22:00;2023-05-19;22:11;1;B54;DP;Flight Departed;LH;584;32Q;2023-05-20;03:05;3;;LD;Flight Landed;LD;Flight Landed
LH948;FRA;2023-05-19;22:00;2023-05-19;22:04;1;B55;DP;Flight Departed;LH;948;319;2023-05-19;22:30;1;;LD;Flight Landed;LD;Flight Landed
LH1308;FRA;2023-05-19;22:00;2023-05-19;22:10;1;B32;DP;Flight Departed;LH;1308;320;2023-05-20;03:05;;;LD;Flight Landed;LD;Flight Landed
YY3762;FRA;2023-05-19;22:00;;;1;SQAIR;NO;No Status;YY;3762;BUS;;;;;NO;No Status;;No Status
LH258;FRA;2023-05-19;22:05;2023-05-19;22:07;1;A20;DP;Flight Departed;LH;258;320;2023-05-19;23:26;1;;LD;Flight Landed;LD;Flight Landed
LH290;FRA;2023-05-19;22:05;2023-05-19;22:06;1;A40;DP;Flight Departed;LH;290;32N;2023-05-19;23:35;;;LD;Flight Landed;LD;Flight Landed
LH506;FRA;2023-05-19;22:05;2023-05-19;22:26;1;B30;DP;Flight Departed;LH;506;744;2023-05-20;05:21;3;;LD;Flight Landed;LD;Flight Landed
LH572;FRA;2023-05-19;22:05;2023-05-19;22:11;1;Z66;DP;Flight Departed;LH;572;74H;2023-05-20;08:22;A;;LD;Flight Landed;LD;Flight Landed
LH820;FRA;2023-05-19;22:05;2023-05-19;22:12;1;A01;DP;Flight Departed;LH;820;32N;2023-05-19;23:42;;;LD;Flight Landed;LD;Flight Landed
LH1266;FRA;2023-05-19;22:05;2023-05-19;22:03;1;A58;DP;Flight Departed;LH;1266;320;2023-05-19;23:18;;;LD;Flight Landed;LD;Flight Landed
2A3632;FRA;2023-05-19;22:07;2023-05-19;22:16;Station;T06;DP;Flight Departed;2A;3632;TRN;2023-05-19;23:13;;;LD;Flight Landed;LD;Flight Landed
LH1342;FRA;2023-05-19;22:10;2023-05-19;22:18;1;A16;DP;Flight Departed;LH;1342;32M;2023-05-19;23:59;2A;;LD;Flight Landed;LD;Flight Landed
LH1402;FRA;2023-05-19;22:10;2023-05-19;22:09;1;A25;DP;Flight Departed;LH;1402;320;2023-05-19;23:11;2;;LD;Flight Landed;LD;Flight Landed
