FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LH992;FRA;2023-05-18;12:35;2023-05-18;12:50;1;A56;DP;Flight Departed;AMS;2023-05-18;13:50;2023-05-18;14:03;;;LD;Flight Landed;LH;992;320;LD;Flight Landed
LH1414;FRA;2023-05-18;12:35;2023-05-18;12:50;1;A52;DP;Flight Departed;ZAG;2023-05-18;14:00;2023-05-18;14:04;;;LD;Flight Landed;LH;1414;32Q;LD;Flight Landed
4Y202;FRA;2023-05-18;12:40;2023-05-18;12:48;1;C18;DP;Flight Departed;RAK;2023-05-18;15:20;2023-05-18;15:24;1;;LD;Flight Landed;4Y;202;32A;LD;Flight Landed
EN8042;FRA;2023-05-18;12:40;2023-05-18;13:05;1;B11;DP;Flight Departed;LNZ;2023-05-18;13:45;2023-05-18;14:12;;;LD;Flight Landed;EN;8042;E95;LD;Flight Landed
LH816;FRA;2023-05-18;12:40;2023-05-18;12:39;1;A04;DP;Flight Departed;GOT;2023-05-18;14:15;2023-05-18;14:17;;;LD;Flight Landed;LH;816;319;LD;Flight Landed
2A3718;FRA;2023-05-18;12:41;2023-05-18;12:46;Station;T06;DP;Flight Departed;XIU;2023-05-18;15:07;2023-05-18;15:42;;;LD;Flight Landed;2A;3718;TRN;LD;Flight Landed
2A3536;FRA;2023-05-18;12:42;2023-05-18;12:42;Station;T07;DP;Flight Departed;QKL;2023-05-18;13:33;2023-05-18;13:36;;;LD;Flight Landed;2A;3536;TRN;LD;Flight Landed
LH052;FRA;2023-05-18;12:45;2023-05-18;13:10;1;A20;DP;Flight Departed;HAJ;2023-05-18;13:35;2023-05-18;13:48;;A05;LD;Flight Landed;LH;052;319;LD;Flight Landed
LH252;FRA;2023-05-18;12:45;2023-05-18;13:13;1;A60;DP;Flight Departed;MXP;2023-05-18;14:00;2023-05-18;14:15;1;;LD;Flight Landed;LH;252;32A;LD;Flight Landed
LH284;FRA;2023-05-18;12:45;2023-05-18;12:58;1;A13;DP;Flight Departed;BLQ;2023-05-18;14:05;2023-05-18;14:19;;;LD;Flight Landed;LH;284;32A;LD;Flight Landed
LH326;FRA;2023-05-18;12:45;2023-05-18;13:35;1;A14;DP;Flight Departed;VCE;2023-05-18;14:00;2023-05-18;14:55;;;LD;Flight Landed;LH;326;32A;LD;Flight Landed
LH828;FRA;2023-05-18;12:45;2023-05-18;12:57;1;B05;DP;Flight Departed;CPH;2023-05-18;14:05;2023-05-18;14:07;2;;LD;Flight Landed;LH;828;32A;LD;Flight Landed
LH1076;FRA;2023-05-18;12:45;2023-05-18;13:11;1;B12;DP;Flight Departed;LYS;2023-05-18;14:00;2023-05-18;14:20;1;;LD;Flight Landed;LH;1076;320;LD;Flight Landed
4Y1220;FRA;2023-05-18;12:50;2023-05-18;13:22;1;A22;DP;Flight Departed;JTR;2023-05-18;16:50;2023-05-18;17:04;;;LD;Flight Landed;4Y;1220;32A;LD;Flight Landed
OS208;FRA;2023-05-18;12:50;2023-05-18;13:06;1;A21;DP;Flight Departed;VIE;2023-05-18;14:15;2023-05-18;14:23;3;F31A;LD;Flight Landed;OS;208;32N;LD;Flight Landed
2A3414;FRA;2023-05-18;12:51;2023-05-18;13:11;Station;T05;DP;Flight Departed;ZWS;2023-05-18;14:08;2023-05-18;14:21;;;LD;Flight Landed;2A;3414;TRN;LD;Flight Landed
EN8052;FRA;2023-05-18;12:55;2023-05-18;12:57;1;B04;DP;Flight Departed;INN;2023-05-18;14:05;2023-05-18;14:03;;;LD;Flight Landed;EN;8052;E95;LD;Flight Landed
EN8818;FRA;2023-05-18;12:55;2023-05-18;14:49;1;B04;DP;Flight Departed;TRS;2023-05-18;14:05;2023-05-18;16:11;;;LD;Flight Landed;EN;8818;E90;LD;Flight Landed
LH354;FRA;2023-05-18;12:55;2023-05-18;13:26;1;A03;DP;Flight Departed;BRE;2023-05-18;13:50;2023-05-18;14:23;;;LD;Flight Landed;LH;354;319;LD;Flight Landed
LH1262;FRA;2023-05-18;12:55;2023-05-18;13:27;1;A40;DP;Flight Departed;GRZ;2023-05-18;14:10;2023-05-18;14:40;;;LD;Flight Landed;LH;1262;32A;LD;Flight Landed
LH016;FRA;2023-05-18;13:00;2023-05-18;13:26;1;A16;DP;Flight Departed;HAM;2023-05-18;14:10;2023-05-18;14:27;2;;LD;Flight Landed;LH;016;321;LD;Flight Landed
LH1104;FRA;2023-05-18;13:00;2023-05-18;13:11;1;B13;DP;Flight Departed;SZG;2023-05-18;13:55;2023-05-18;14:07;;;LD;Flight Landed;LH;1104;320;LD;Flight Landed
LX1083;FRA;2023-05-18;13:00;2023-05-18;13:16;1;A19;DP;Flight Departed;GVA;2023-05-18;14:05;2023-05-18;14:28;1;;LD;Flight Landed;LX;1083;223;LD;Flight Landed
CL394;FRA;2023-05-18;13:05;2023-05-18;13:16;1;A02;DP;Flight Departed;LUX;2023-05-18;13:50;2023-05-18;13:58;;;LD;Flight Landed;CL;394;E90;LD;Flight Landed
LH648;FRA;2023-05-18;13:05;2023-05-18;13:31;1;B33;DP;Flight Departed;ALA;2023-05-19;00:10;2023-05-19;00:38;;005;LD;Flight Landed;LH;648;333;LD;Flight Landed
LH754;FRA;2023-05-18;13:05;2023-05-18;13:37;1;B30;DP;Flight Departed;BLR;2023-05-19;01:25;2023-05-19;01:53;1;;LD;Flight Landed;LH;754;744;LD;Flight Landed
