,AirportCode,CityCode,CountryCode,LocationType,Names,UtcOffset,TimeZoneId,Latitude,Longitude
1059,SJC,SJC,US,Airport,San Jose,-08:00,America/Los_Angeles,37.3625,-121.9289
1060,SJD,SJD,MX,Airport,San Jose Cabo,-07:00,America/Mazatlan,23.1519,-109.7211
1061,SJJ,SJJ,BA,Airport,Sarajevo,+01:00,Europe/Sarajevo,43.8247,18.3314
1062,SJO,SJO,CR,Airport,San Jose CR,-06:00,America/Costa_Rica,9.9939,-84.2089
1063,SJP,SJP,BR,Airport,Sao Jose Do Rio Preto,-03:00,America/Araguaina,-20.8167,-49.4064
1064,SJU,SJU,PR,Airport,San Juan,-04:00,America/Puerto_Rico,18.4394,-66.0019
1065,SJW,SJW,CN,Airport,Shijiazhuang Zhengding International,+08:00,Asia/Shanghai,38.2806,114.6972
1066,SKG,SKG,GR,Airport,Thessaloniki,+02:00,Europe/Athens,40.5197,22.9708
1067,SKN,SKN,NO,Airport,Stokmarknes,+01:00,Europe/Oslo,68.5811,15.0211
1068,SKP,SKP,MK,Airport,Skopje,+01:00,Europe/Skopje,41.9617,21.6214
1069,SKU,SKU,GR,Airport,Skiros,+02:00,Europe/Athens,38.9683,24.4881
1070,SLA,SLA,AR,Airport,Salta,-03:00,America/Argentina/Buenos_Aires,-24.8597,-65.4869
1071,SLC,SLC,US,Airport,Salt Lake City,-07:00,America/Denver,40.7883,-111.9778
1072,SLK,SLK,US,Airport,Saranac Lake Adirondack Regional,-05:00,America/New_York,44.3853,-74.2061
1073,SLP,SLP,MX,Airport,San Luis Potosi,-06:00,America/Mexico_City,22.2542,-100.9308
1074,SLV,SLV,IN,Airport,Shimla,+05:30,Asia/Kolkata,31.0817,77.0681
1075,SLZ,SLZ,BR,Airport,Sao Luiz,-03:00,America/Araguaina,-2.5853,-44.2342
1076,SMF,SAC,US,Airport,Sacramento,-08:00,America/Los_Angeles,38.6956,-121.5908
1077,SMI,SMI,GR,Airport,Samos,+02:00,Europe/Athens,37.69,26.9117
1078,SMR,SMR,CO,Airport,Santa Marta,-05:00,America/Bogota,11.1197,-74.2306
1079,SMX,SMX,US,Airport,Santa Maria California (US),-08:00,America/Los_Angeles,34.8989,-120.4575
1080,SNA,SNA,US,Airport,Santa Ana John Wayne,-08:00,America/Los_Angeles,33.6756,-117.8683
1081,SNN,SNN,IE,Airport,Shannon,+00:00,Europe/Dublin,52.7019,-8.9247
