FlightScheduleID,DepAirportCode,DepScheduledTimeLocal,ArrAirportCode,ArrScheduledTimeLocal,Terminal,AirlineID,FlightNumber,AircraftCode,DaysOfOperation,Effective,Expiration
1541,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,236,2023-04-22,2023-04-29
1542,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,6,2023-04-22,2023-04-29
1543,FRA,2023-04-23T07:05,BUD,2023-04-23T08:35,2A,LH,1334,32N,6,2023-04-22,2023-04-29
1544,MUC,2023-04-22T12:00,BUD,2023-04-22T13:15,2A,LH,1676,32A,6,2023-04-22,2023-04-22
1545,MUC,2023-04-22T15:35,BUD,2023-04-22T16:50,2A,LH,1678,E95,6,2023-04-22,2023-04-22
1546,MUC,2023-04-22T15:35,BUD,2023-04-22T16:50,2A,LH,1678,E95,6,2023-04-22,2023-04-29
1547,FRA,2023-04-22T08:55,CAG,2023-04-22T10:50,,LH,340,32A,6,2023-04-22,2023-04-22
1548,MUC,2023-04-23T15:50,CAG,2023-04-23T17:40,,LH,1918,319,6,2023-04-22,2023-04-22
1549,FRA,2023-04-22T08:30,CDG,2023-04-22T09:45,1,LH,1028,32A,167,2023-04-22,2023-04-24
1550,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,1246,2023-04-22,2023-04-27
1551,FRA,2023-04-22T09:30,CDG,2023-04-22T10:45,1,LH,1030,321,1246,2023-04-22,2023-04-27
1552,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,124567,2023-04-22,2023-04-29
1553,FRA,2023-04-22T12:20,CDG,2023-04-22T13:35,1,LH,1034,321,124567,2023-04-22,2023-04-29
1554,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,124567,2023-04-22,2023-04-29
1555,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,12456,2023-04-22,2023-04-29
1556,FRA,2023-04-22T21:40,CDG,2023-04-22T22:55,1,LH,1052,321,12456,2023-04-22,2023-04-29
1557,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,12456,2023-04-22,2023-04-29
1558,MUC,2023-04-22T10:35,CFU,2023-04-22T13:35,,LH,1766,32N,6,2023-04-22,2023-04-22
1559,MUC,2023-04-22T11:10,CGN,2023-04-22T12:15,1,LH,1976,319,36,2023-04-22,2023-04-26
1560,MUC,2023-04-22T14:50,CGN,2023-04-22T15:55,1,LH,1980,CR9,356,2023-04-22,2023-04-28
1561,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,356,2023-04-22,2023-05-03
1562,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,356,2023-04-22,2023-05-03
1563,MUC,2023-04-22T14:50,CGN,2023-04-22T15:55,1,LH,1980,CR9,356,2023-04-22,2023-05-03
1564,MUC,2023-04-22T14:50,CGN,2023-04-22T15:55,1,LH,1980,CR9,6,2023-04-22,2023-04-29
1565,FRA,2023-04-22T08:20,VIE,2023-04-22T09:45,3,LH,6330,320,6,2023-04-22,2023-04-29
1566,FRA,2023-04-22T10:10,VIE,2023-04-22T11:35,3,LH,6328,320,6,2023-04-22,2023-04-29
1567,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,356,2023-04-22,2023-04-29
1568,FRA,2023-04-22T14:15,CLJ,2023-04-22T17:10,,LH,1472,E90,356,2023-04-22,2023-04-29
1569,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,356,2023-04-22,2023-04-29
1570,MUC,2023-04-22T10:45,CLJ,2023-04-22T13:25,,LH,1668,E95,356,2023-04-22,2023-04-28
1571,FRA,2023-04-22T19:15,MUC,2023-04-22T20:10,2,LH,118,789,1234567,2023-04-22,2023-04-29
1572,MUC,2023-04-22T22:00,CLJ,2023-04-23T00:40,,LH,1672,E95,1234567,2023-04-22,2023-04-29
1573,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,123456,2023-04-22,2023-04-29
1574,FRA,2023-04-22T15:15,MUC,2023-04-22T16:10,2,LH,110,789,123456,2023-04-22,2023-04-29
1575,MUC,2023-04-22T22:00,CLJ,2023-04-23T00:40,,LH,1672,E95,3567,2023-04-22,2023-04-28
1576,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,1346,2023-04-22,2023-04-29
1577,FRA,2023-04-22T16:15,MUC,2023-04-22T17:10,2,LH,112,321,1346,2023-04-22,2023-04-29
1578,MUC,2023-04-22T22:00,CLJ,2023-04-23T00:40,,LH,1672,E95,1346,2023-04-22,2023-04-29
1579,MUC,2023-04-22T22:00,CLJ,2023-04-23T00:40,,LH,1672,E95,356,2023-04-22,2023-04-28
1580,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,26,2023-04-22,2023-04-29
1581,FRA,2023-04-22T12:00,NCE,2023-04-22T13:30,1,LH,1060,321,26,2023-04-22,2023-04-29
1582,FRA,2023-04-22T08:30,CDG,2023-04-22T09:45,1,LH,1028,32A,6,2023-04-22,2023-04-22
1583,FRA,2023-04-22T08:30,MRS,2023-04-22T10:05,1A,LH,1086,32A,6,2023-04-22,2023-04-22
1584,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,34567,2023-04-22,2023-04-28
1585,FRA,2023-04-22T12:45,CPH,2023-04-22T14:05,2,LH,828,32A,34567,2023-04-22,2023-04-28
1586,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,1246,2023-04-22,2023-04-29
1587,FRA,2023-04-22T17:00,CPH,2023-04-22T18:20,2,LH,830,32A,1246,2023-04-22,2023-04-29
1588,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,1346,2023-04-22,2023-04-27
1589,FRA,2023-04-22T21:00,CPH,2023-04-22T22:20,2,LH,832,320,1346,2023-04-22,2023-04-27
1590,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,34567,2023-04-22,2023-04-28
1591,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,1246,2023-04-22,2023-04-29
1592,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,1346,2023-04-22,2023-04-27
